Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
hll1_mpc_stats	[277.9, 5,118]	[-72%, 412%]	0.676	0.676	0.000	0.000	0.000	0.000	0.000	0.000
hll1_mpc_shuffle_stats	[277.9, 5,118]	[-72%, 412%]	0.676	0.676	0.000	0.000	0.000	0.000	0.000	0.000
hll4_stats	[594.1, 1,498]	[-41%, 50%]	0.001	0.001	0.030	0.080	0.190	0.030	0.080	0.190
hll4_shuffle_stats	[594.1, 1,498]	[-41%, 50%]	0.001	0.001	0.000	0.020	0.030	0.030	0.080	0.190
hll4_rehashed_stats	[594.1, 1,498]	[-41%, 50%]	0.001	0.002	0.000	0.000	0.000	0.030	0.080	0.190
hll4_mask_stats	[594.1, 1,498]	[-41%, 50%]	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000
hll4_mpc_stats	[594.1, 1,498]	[-41%, 50%]	4.764	4.764	0.000	0.000	0.020	0.000	0.000	0.020
hll4_mpc_shuffle_stats	[594.1, 1,498]	[-41%, 50%]	4.764	4.764	0.000	0.000	0.000	0.000	0.000	0.020
hll7_stats	[839.9, 1,180]	[-16%, 18%]	0.006	0.006	0.190	0.810	1.670	0.190	0.810	1.670
hll7_shuffle_stats	[839.9, 1,180]	[-16%, 18%]	0.006	0.006	0.000	0.020	0.030	0.190	0.810	1.670
hll7_rehashed_stats	[839.9, 1,180]	[-16%, 18%]	0.006	0.007	0.000	0.000	0.000	0.190	0.810	1.670
hll7_mask_stats	[832.6, 1,251]	[-17%, 25%]	0.006	0.006	0.000	0.000	0.000	0.000	0.000	0.000
hll7_mpc_stats	[839.9, 1,180]	[-16%, 18%]	37.61	37.61	0.000	0.020	0.020	0.000	0.020	0.020
hll7_mpc_shuffle_stats	[839.9, 1,180]	[-16%, 18%]	37.61	37.61	0.000	0.000	0.000	0.000	0.020	0.020
hll15_stats	[992.4, 1,008]	[-1%, 1%]	1.440	1.440	46.31	178.8	374.6	46.31	178.8	374.6
hll15_shuffle_stats	[992.4, 1,008]	[-1%, 1%]	1.440	1.440	0.000	0.020	0.030	46.31	178.8	374.6
hll15_rehashed_stats	[992.4, 1,008]	[-1%, 1%]	1.601	1.621	0.000	0.000	0.000	46.31	178.8	374.6
hll15_mask_stats	[93.02, 2,231]	[-91%, 123%]	0.267	0.267	0.000	0.000	0.000	0.000	0.000	0.000
all_stats	[1000.0, 1000.0]	[0%, 0%]	0.002	0.002	1,919	1,919	1,919	1,919	1,919	1,919
all_rehashed_stats	[1000.0, 1000.0]	[0%, 0%]	0.002	0.002	0.000	0.000	0.000	1,919	1,919	1,919
Method	Estimate (actual)	Estimate (relative)	Wait (mean)	Wait (max)	Hub r1	Hub r4	Hub r9	Hosp r1	Hosp r4	Hosp r9
agg_stats	[899.9, 19,470]	[-91%, 95%]	0.000	0.000	0.090	0.680	2.650	0.090	0.680	2.650
agg_mask_stats	[899.9, 19,477]	[-91%, 95%]	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
agg_mpc_stats	[18,886, 19,470]	[89%, 95%]	0.099	0.099	0.000	0.000	0.000	0.000	0.000	0.000
hll0_stats	[1,421, 363,799]	[-86%, 3538%]	0.000	0.000	0.060	0.150	0.230	0.060	0.150	0.230
